Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
01SEP2022 01:35:00  Obuhvat2D	Cell #	     30970	   65.91	   0.025	20
01SEP2022 01:35:19  Obuhvat2D	Cell #	     30970	   65.95	   0.039	21
01SEP2022 01:35:38  Obuhvat2D	Cell #	     30970	   65.94	   0.054	20
01SEP2022 01:35:56  Obuhvat2D	Cell #	     30970	   65.90	   0.040	20

01SEP2022 01:36:15  Obuhvat2D	Cell #	     30970	   65.98	   0.084	20
01SEP2022 01:36:34  Obuhvat2D	Cell #	     30970	   65.95	   0.072	20
01SEP2022 01:36:53  Obuhvat2D	Cell #	     30970	   65.95	   0.054	21
01SEP2022 01:37:11  Obuhvat2D	Cell #	     30970	   65.93	   0.014	21

01SEP2022 01:37:30  Obuhvat2D	Cell #	     30897	   64.87	   0.025	20
01SEP2022 01:37:49  Obuhvat2D	Cell #	     30970	   65.95	   0.051	21
01SEP2022 01:38:26  Obuhvat2D	Cell #	     30970	   65.92	   0.016	21
01SEP2022 01:38:45  Obuhvat2D	Cell #	     31137	   65.13	   0.025	21

01SEP2022 01:39:04  Obuhvat2D	Cell #	     30970	   65.91	   0.036	21
01SEP2022 01:39:23  Obuhvat2D	Cell #	     30970	   66.01	   0.100	24
01SEP2022 01:39:41  Obuhvat2D	Cell #	     30970	   65.79	   0.222	23
01SEP2022 01:40:00  Obuhvat2D	Cell #	     30970	   66.12	   0.270	21

01SEP2022 01:40:19  Obuhvat2D	Cell #	     30970	   65.79	   0.162	20
