Plan: 'Test 2' (Sava2D-Obr-Ost.p02)
Simulation started at: 25Aug2022 12:46:46 PM

Writing Geometry...
Computing 2D Flow Area 'Obuhvat2D' tables: Property tables do not exist.
2D Flow Area 'Obuhvat2D' tables complete 14.16 sec
Completed Writing Geometry

	
Geometric Preprocessor HEC-RAS 6.2 March 2022
 

Finished Processing Geometry

Writing Event Conditions ...
Completed Writing Event Condition Data


Performing Unsteady Flow Simulation  HEC-RAS 6.2 March 2022
 
	
Unsteady Input Summary:
     2D Unsteady SWE-ELM Equation Set (faster)

Maximum adaptive timestep = 20:00.0    Minimum adaptive timestep = 00:02.344
Initial adaptive timestep = 00:37.5

Maximum iteration location		Cell	 WSEL	ERROR	ITERATIONS
03SEP2022 20:31:15  Obuhvat2D	Cell #	     28371	   74.53	   0.204	21

03SEP2022 20:31:53  Obuhvat2D	Cell #	     28371	   74.50	   0.226	22
03SEP2022 20:32:30  Obuhvat2D	Cell #	     28371	   74.48	   0.240	22
03SEP2022 20:33:08  Obuhvat2D	Cell #	     28371	   74.47	   0.252	20
03SEP2022 20:33:26  Obuhvat2D	Cell #	     28371	   74.71	   0.011	20

03SEP2022 20:33:45  Obuhvat2D	Cell #	     28371	   74.63	   0.082	22
03SEP2022 20:34:04  Obuhvat2D	Cell #	     28372	   74.58	   0.007	21
03SEP2022 20:34:23  Obuhvat2D	Cell #	     28371	   74.74	   0.041	21
03SEP2022 20:34:41  Obuhvat2D	Cell #	     28371	   74.56	   0.178	23

03SEP2022 20:35:19  Obuhvat2D	Cell #	     28371	   74.66	   0.040	20
03SEP2022 20:35:38  Obuhvat2D	Cell #	     28371	   74.71	   0.032	22
03SEP2022 20:35:56  Obuhvat2D	Cell #	     28371	   74.57	   0.135	21
03SEP2022 20:36:34  Obuhvat2D	Cell #	     28371	   74.70	   0.028	21

03SEP2022 20:36:53  Obuhvat2D	Cell #	     11818	   74.61	   0.033	21
03SEP2022 20:37:11  Obuhvat2D	Cell #	     28371	   74.63	   0.076	22
03SEP2022 20:37:30  Obuhvat2D	Cell #	     11818	   74.74	   0.012	21
03SEP2022 20:37:49  Obuhvat2D	Cell #	     28371	   74.61	   0.092	21

03SEP2022 20:38:08  Obuhvat2D	Cell #	     28371	   74.69	   0.007	20
03SEP2022 20:38:26  Obuhvat2D	Cell #	     11657	   73.42	   0.052	21
03SEP2022 20:38:45  Obuhvat2D	Cell #	     28371	   74.71	   0.018	22
03SEP2022 20:39:04  Obuhvat2D	Cell #	     28371	   74.58	   0.127	20

03SEP2022 20:39:23  Obuhvat2D	Cell #	     28371	   74.69	   0.018	21
03SEP2022 20:39:41  Obuhvat2D	Cell #	     11657	   73.69	   0.033	21
03SEP2022 20:40:00  Obuhvat2D	Cell #	     28371	   74.71	   0.045	20
03SEP2022 20:40:19  Obuhvat2D	Cell #	     28371	   74.71	   0.016	20

03SEP2022 20:40:38  Obuhvat2D	Cell #	     28371	   74.67	   0.037	20
03SEP2022 20:40:56  Obuhvat2D	Cell #	     28371	   74.75	   0.082	21
03SEP2022 20:41:15  Obuhvat2D	Cell #	     28371	   74.57	   0.179	22
03SEP2022 20:41:15       timestep =              9.375      (sec)
03SEP2022 20:41:34  Obuhvat2D	Cell #	     28371	   74.68	   0.013	20
03SEP2022 20:42:49       timestep =            18.75        (sec)

03SEP2022 20:43:08  Obuhvat2D	Cell #	     28371	   74.69	   0.007	20
03SEP2022 20:43:26  Obuhvat2D	Cell #	      3716	   73.06	   0.008	20
03SEP2022 20:43:45  Obuhvat2D	Cell #	     28371	   74.71	   0.015	20
03SEP2022 20:44:04  Obuhvat2D	Cell #	     28371	   74.67	   0.035	20

03SEP2022 20:44:23  Obuhvat2D	Cell #	     28371	   74.75	   0.078	21
03SEP2022 20:44:41  Obuhvat2D	Cell #	     28371	   74.59	   0.164	20
03SEP2022 20:45:00  Obuhvat2D	Cell #	     28371	   74.74	   0.058	20
03SEP2022 20:45:19  Obuhvat2D	Cell #	     28371	   74.59	   0.150	20

03SEP2022 20:45:38  Obuhvat2D	Cell #	     28371	   74.73	   0.052	20
03SEP2022 20:45:56  Obuhvat2D	Cell #	     28371	   74.59	   0.139	22
03SEP2022 20:46:15  Obuhvat2D	Cell #	     28371	   74.77	   0.108	21
03SEP2022 20:46:34  Obuhvat2D	Cell #	     28371	   74.55	   0.220	21

03SEP2022 20:46:53  Obuhvat2D	Cell #	     28371	   74.69	   0.042	20
03SEP2022 20:47:11  Obuhvat2D	Cell #	     28371	   74.68	   0.035	20
03SEP2022 20:47:30  Obuhvat2D	Cell #	     28371	   74.71	   0.022	21
03SEP2022 20:48:26  Obuhvat2D	Cell #	     28371	   74.70	   0.005	20

03SEP2022 20:49:04  Obuhvat2D	Cell #	     28371	   74.70	   0.011	21
03SEP2022 20:49:23  Obuhvat2D	Cell #	     28371	   74.69	   0.023	21
03SEP2022 20:49:41  Obuhvat2D	Cell #	      3692	   72.72	   0.036	21
03SEP2022 20:50:00  Obuhvat2D	Cell #	     28371	   74.65	   0.069	21

03SEP2022 20:50:19  Obuhvat2D	Cell #	     28371	   74.75	   0.063	21
03SEP2022 20:50:19       timestep =              9.375      (sec)
03SEP2022 20:50:28  Obuhvat2D	Cell #	     28371	   74.69	   0.026	20
03SEP2022 20:51:34       timestep =            18.75        (sec)
03SEP2022 20:51:53  Obuhvat2D	Cell #	     11899	   76.44	   0.007	21
03SEP2022 20:52:30  Obuhvat2D	Cell #	     28371	   74.71	   0.011	21

03SEP2022 20:53:08  Obuhvat2D	Cell #	     28371	   74.71	   0.020	20
03SEP2022 20:53:26  Obuhvat2D	Cell #	     11773	   74.80	   0.007	20
03SEP2022 20:53:45  Obuhvat2D	Cell #	     28371	   74.70	   0.009	20
03SEP2022 20:54:04  Obuhvat2D	Cell #	     28371	   74.70	   0.015	20

03SEP2022 20:54:23  Obuhvat2D	Cell #	     28371	   74.70	   0.023	20
03SEP2022 20:54:22       timestep =              9.375      (sec)
03SEP2022 20:55:28  Obuhvat2D	Cell #	     24422	   72.89	   0.021	20
03SEP2022 20:56:15       timestep =            18.75        (sec)
03SEP2022 20:56:34  Obuhvat2D	Cell #	     28371	   74.70	   0.011	20
03SEP2022 20:56:53  Obuhvat2D	Cell #	      3618	   72.14	   0.004	20

03SEP2022 20:57:30  Obuhvat2D	Cell #	     28371	   74.70	   0.005	20
03SEP2022 20:57:49  Obuhvat2D	Cell #	      3618	   72.23	   0.016	20
03SEP2022 20:58:08  Obuhvat2D	Cell #	      3605	   72.12	   0.098	20
03SEP2022 20:58:45       timestep =            37.5          (sec)
03SEP2022 20:59:23  Obuhvat2D	Cell #	     40281	   76.53	   0.012	21
03SEP2022 20:59:22       timestep =            18.75        (sec)

03SEP2022 20:59:41  Obuhvat2D	Cell #	     28371	   74.74	   0.057	21
03SEP2022 21:00:00  Obuhvat2D	Cell #	     28371	   74.63	   0.112	20
03SEP2022 21:00:19  Obuhvat2D	Cell #	     28371	   74.75	   0.080	20
03SEP2022 21:00:38  Obuhvat2D	Cell #	     28371	   74.71	   0.012	20

03SEP2022 21:00:56  Obuhvat2D	Cell #	     28371	   74.72	   0.025	21
03SEP2022 21:01:15  Obuhvat2D	Cell #	     28371	   74.67	   0.062	21
03SEP2022 21:01:34  Obuhvat2D	Cell #	      3582	   72.13	   0.054	22
03SEP2022 21:01:53  Obuhvat2D	Cell #	     28371	   74.66	   0.077	21

03SEP2022 21:02:11  Obuhvat2D	Cell #	     28371	   74.74	   0.053	20
03SEP2022 21:02:30  Obuhvat2D	Cell #	      3581	   71.98	   0.030	20
03SEP2022 21:02:49  Obuhvat2D	Cell #	     28371	   74.70	   0.015	20
03SEP2022 21:04:04  Obuhvat2D	Cell #	      3581	   72.24	   0.005	20

03SEP2022 21:04:23  Obuhvat2D	Cell #	     28371	   74.71	   0.007	20
03SEP2022 21:04:41       timestep =              9.375      (sec)
03SEP2022 21:05:37       timestep =            18.75        (sec)
03SEP2022 21:06:34  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20
03SEP2022 21:06:53  Obuhvat2D	Cell #	     28371	   74.71	   0.005	20
03SEP2022 21:07:11  Obuhvat2D	Cell #	     28371	   74.71	   0.007	20

03SEP2022 21:07:30  Obuhvat2D	Cell #	     28371	   74.72	   0.008	20
03SEP2022 21:07:49  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:08:08  Obuhvat2D	Cell #	     28371	   74.71	   0.009	20
03SEP2022 21:08:26  Obuhvat2D	Cell #	     28371	   74.71	   0.006	20
03SEP2022 21:08:45       timestep =              9.375      (sec)
03SEP2022 21:09:41       timestep =            18.75        (sec)

03SEP2022 21:10:19  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20
03SEP2022 21:10:37       timestep =              9.375      (sec)
03SEP2022 21:11:34  Obuhvat2D	Cell #	      3549	   72.45	   0.005	20
03SEP2022 21:12:11       timestep =            18.75        (sec)
03SEP2022 21:12:30  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:12:30       timestep =              9.375      (sec)
03SEP2022 21:13:26       timestep =            18.75        (sec)
03SEP2022 21:13:45  Obuhvat2D	Cell #	      3521	   72.47	   0.005	20

03SEP2022 21:14:04  Obuhvat2D	Cell #	      3508	   72.44	   0.025	20
03SEP2022 21:14:23  Obuhvat2D	Cell #	     28371	   74.71	   0.006	20
03SEP2022 21:14:41  Obuhvat2D	Cell #	      3508	   72.50	   0.007	20
03SEP2022 21:15:38  Obuhvat2D	Cell #	     28371	   74.72	   0.007	20

03SEP2022 21:16:15  Obuhvat2D	Cell #	     28371	   74.71	   0.006	20
03SEP2022 21:16:34  Obuhvat2D	Cell #	     28371	   74.71	   0.013	20
03SEP2022 21:16:53  Obuhvat2D	Cell #	     28371	   74.71	   0.018	20
03SEP2022 21:17:30  Obuhvat2D	Cell #	     28371	   74.71	   0.004	20

03SEP2022 21:18:45  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20
03SEP2022 21:19:04  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20
03SEP2022 21:19:23  Obuhvat2D	Cell #	      3481	   72.19	   0.017	20
03SEP2022 21:19:41  Obuhvat2D	Cell #	     28371	   74.71	   0.012	20

03SEP2022 21:20:00  Obuhvat2D	Cell #	     28371	   74.72	   0.004	20
03SEP2022 21:20:19  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:20:38  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:20:56  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20

03SEP2022 21:21:15  Obuhvat2D	Cell #	     28371	   74.72	   0.003	20
03SEP2022 21:21:34  Obuhvat2D	Cell #	     28371	   74.72	   0.004	20
03SEP2022 21:22:11  Obuhvat2D	Cell #	     11649	   74.93	   0.006	21
03SEP2022 21:22:49  Obuhvat2D	Cell #	     11691	   74.86	   0.003	20

03SEP2022 21:23:45  Obuhvat2D	Cell #	     11716	   74.73	   0.006	20
03SEP2022 21:24:04  Obuhvat2D	Cell #	      1071	   74.87	   0.006	20
03SEP2022 21:24:23  Obuhvat2D	Cell #	      1099	   74.83	   0.008	20
03SEP2022 21:24:41  Obuhvat2D	Cell #	      1099	   74.83	   0.011	20

03SEP2022 21:25:00  Obuhvat2D	Cell #	      1099	   74.84	   0.011	20
03SEP2022 21:25:19  Obuhvat2D	Cell #	     28371	   74.72	   0.011	20
03SEP2022 21:25:38  Obuhvat2D	Cell #	     28371	   74.72	   0.011	20
03SEP2022 21:25:56  Obuhvat2D	Cell #	     28371	   74.72	   0.012	20

03SEP2022 21:26:15  Obuhvat2D	Cell #	     28371	   74.73	   0.014	20
03SEP2022 21:26:34  Obuhvat2D	Cell #	     28371	   74.73	   0.010	20
03SEP2022 21:27:30  Obuhvat2D	Cell #	     28371	   74.73	   0.004	20
03SEP2022 21:27:49  Obuhvat2D	Cell #	      3425	   72.54	   0.009	20

03SEP2022 21:28:08  Obuhvat2D	Cell #	     42317	   76.52	   0.005	20
03SEP2022 21:28:26  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:28:45  Obuhvat2D	Cell #	     28371	   74.72	   0.010	20
03SEP2022 21:29:04  Obuhvat2D	Cell #	     28371	   74.72	   0.010	20

03SEP2022 21:29:23  Obuhvat2D	Cell #	     28371	   74.72	   0.012	20
03SEP2022 21:30:00  Obuhvat2D	Cell #	     35045	   76.54	   0.003	20
03SEP2022 21:30:00       timestep =              9.375      (sec)
03SEP2022 21:30:28  Obuhvat2D	Cell #	     37793	   76.54	   0.003	20
03SEP2022 21:31:52       timestep =            18.75        (sec)
03SEP2022 21:32:11  Obuhvat2D	Cell #	     28371	   74.73	   0.005	20

03SEP2022 21:32:30  Obuhvat2D	Cell #	     28371	   74.72	   0.005	20
03SEP2022 21:32:49  Obuhvat2D	Cell #	     28371	   74.73	   0.008	20
03SEP2022 21:33:08  Obuhvat2D	Cell #	     28371	   74.73	   0.006	20
03SEP2022 21:33:26  Obuhvat2D	Cell #	     28371	   74.73	   0.007	20

03SEP2022 21:33:45  Obuhvat2D	Cell #	     28371	   74.73	   0.009	20
03SEP2022 21:34:23  Obuhvat2D	Cell #	      3398	   72.83	   0.003	20
03SEP2022 21:35:00       timestep =              9.375      (sec)
03SEP2022 21:36:15       timestep =            18.75        (sec)
03SEP2022 21:36:34  Obuhvat2D	Cell #	     28371	   74.72	   0.006	20
03SEP2022 21:36:53  Obuhvat2D	Cell #	     28371	   74.72	   0.009	20
03SEP2022 21:36:52       timestep =              9.375      (sec)

03SEP2022 21:37:02  Obuhvat2D	Cell #	     28371	   74.73	   0.004	20
03SEP2022 21:39:04       timestep =            18.75        (sec)
03SEP2022 21:39:23  Obuhvat2D	Cell #	     29517	   74.75	   0.007	20
03SEP2022 21:39:41  Obuhvat2D	Cell #	     28371	   74.73	   0.004	20
03SEP2022 21:40:00  Obuhvat2D	Cell #	     29517	   74.76	   0.006	20

03SEP2022 21:40:19  Obuhvat2D	Cell #	     28371	   74.73	   0.005	20
03SEP2022 21:41:52       timestep =            37.5          (sec)
03SEP2022 21:42:30  Obuhvat2D	Cell #	      3355	   72.24	   0.013	20
03SEP2022 21:42:30       timestep =            18.75        (sec)
03SEP2022 21:42:49  Obuhvat2D	Cell #	      3343	   71.49	   0.050	21
03SEP2022 21:42:49       timestep =              9.375      (sec)
03SEP2022 21:42:58  Obuhvat2D	Cell #	      3343	   71.49	   0.004	20
03SEP2022 21:43:45       timestep =            18.75        (sec)

03SEP2022 21:44:04  Obuhvat2D	Cell #	      3355	   72.32	   0.007	20
03SEP2022 21:44:23  Obuhvat2D	Cell #	      3355	   72.27	   0.044	21
03SEP2022 21:44:41  Obuhvat2D	Cell #	      3355	   72.39	   0.014	20
03SEP2022 21:45:00  Obuhvat2D	Cell #	      3343	   71.67	   0.159	21

03SEP2022 21:45:38  Obuhvat2D	Cell #	      3355	   72.17	   0.210	21
03SEP2022 21:45:56  Obuhvat2D	Cell #	     28371	   74.73	   0.008	20
03SEP2022 21:46:15  Obuhvat2D	Cell #	      3355	   72.13	   0.357	21
03SEP2022 21:46:34  Obuhvat2D	Cell #	      3355	   72.44	   0.157	21
03SEP2022 21:46:34       timestep =              9.375      (sec)

03SEP2022 21:46:43  Obuhvat2D	Cell #	      3355	   72.43	   0.031	20
03SEP2022 21:46:53  Obuhvat2D	Cell #	      3355	   72.48	   0.049	21
03SEP2022 21:47:02  Obuhvat2D	Cell #	      3355	   72.39	   0.088	21
03SEP2022 21:47:11  Obuhvat2D	Cell #	      3355	   72.51	   0.058	21

03SEP2022 21:47:21  Obuhvat2D	Cell #	      3355	   72.36	   0.152	20
03SEP2022 21:47:30  Obuhvat2D	Cell #	      3355	   72.48	   0.052	20
03SEP2022 21:47:30       timestep =            18.75        (sec)
03SEP2022 21:47:49  Obuhvat2D	Cell #	      3355	   72.49	   0.020	21
03SEP2022 21:48:08  Obuhvat2D	Cell #	      3379	   71.81	   0.006	20

03SEP2022 21:48:45  Obuhvat2D	Cell #	      3355	   72.51	   0.003	20
03SEP2022 21:49:23  Obuhvat2D	Cell #	     24464	   72.39	   0.025	20
03SEP2022 21:49:41  Obuhvat2D	Cell #	     24462	   72.79	   0.052	20
03SEP2022 21:50:00  Obuhvat2D	Cell #	     24462	   72.82	   0.073	21

03SEP2022 21:50:38  Obuhvat2D	Cell #	     24464	   72.51	   0.104	21
03SEP2022 21:50:37       timestep =              9.375      (sec)
03SEP2022 21:53:07       timestep =            18.75        (sec)
03SEP2022 21:53:26  Obuhvat2D	Cell #	     28371	   74.73	   0.005	20
03SEP2022 21:53:45  Obuhvat2D	Cell #	     28371	   74.73	   0.009	20
03SEP2022 21:55:00  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20

03SEP2022 21:55:19  Obuhvat2D	Cell #	     28371	   74.73	   0.007	20
03SEP2022 21:55:38  Obuhvat2D	Cell #	     11711	   74.90	   0.012	20
03SEP2022 21:55:37       timestep =              9.375      (sec)
03SEP2022 21:56:34       timestep =            18.75        (sec)
03SEP2022 21:57:11  Obuhvat2D	Cell #	     28371	   74.74	   0.005	20
03SEP2022 21:57:30  Obuhvat2D	Cell #	     28371	   74.74	   0.009	20

03SEP2022 21:57:49  Obuhvat2D	Cell #	     28371	   74.73	   0.010	20
03SEP2022 21:58:08  Obuhvat2D	Cell #	     28371	   74.75	   0.017	20
03SEP2022 21:58:26  Obuhvat2D	Cell #	     28371	   74.75	   0.029	20
03SEP2022 22:00:00  Obuhvat2D	Cell #	     28371	   74.74	   0.005	20

03SEP2022 22:00:19  Obuhvat2D	Cell #	     24464	   72.69	   0.005	20
03SEP2022 22:00:38  Obuhvat2D	Cell #	     28371	   74.74	   0.005	20
03SEP2022 22:00:56  Obuhvat2D	Cell #	     28371	   74.74	   0.006	20
03SEP2022 22:00:56       timestep =              9.375      (sec)
03SEP2022 22:03:45       timestep =            18.75        (sec)
03SEP2022 22:04:04  Obuhvat2D	Cell #	     28371	   74.74	   0.006	20

03SEP2022 22:04:23  Obuhvat2D	Cell #	     28371	   74.73	   0.011	20
03SEP2022 22:04:41  Obuhvat2D	Cell #	     28371	   74.74	   0.009	20
03SEP2022 22:05:38  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20
03SEP2022 22:05:56  Obuhvat2D	Cell #	     28371	   74.74	   0.003	20

03SEP2022 22:06:53  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20
03SEP2022 22:07:11  Obuhvat2D	Cell #	     40281	   76.56	   0.006	20
03SEP2022 22:07:11       timestep =              9.375      (sec)
03SEP2022 22:15:09  Obuhvat2D	Cell #	     24486	   72.21	   0.003	20
03SEP2022 22:17:49       timestep =            18.75        (sec)
03SEP2022 22:18:08  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20

03SEP2022 22:18:26  Obuhvat2D	Cell #	     28371	   74.74	   0.003	20
03SEP2022 22:19:04  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20
03SEP2022 22:19:23  Obuhvat2D	Cell #	     28371	   74.74	   0.007	20
03SEP2022 22:19:41  Obuhvat2D	Cell #	     28371	   74.74	   0.005	20

03SEP2022 22:20:00  Obuhvat2D	Cell #	     28371	   74.75	   0.004	20
03SEP2022 22:20:19  Obuhvat2D	Cell #	     28371	   74.75	   0.007	20
03SEP2022 22:20:38  Obuhvat2D	Cell #	      3206	   72.85	   0.018	20
03SEP2022 22:20:56  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20

03SEP2022 22:21:15  Obuhvat2D	Cell #	     28371	   74.74	   0.006	20
03SEP2022 22:21:34  Obuhvat2D	Cell #	     29561	   75.39	   0.006	20
03SEP2022 22:21:53  Obuhvat2D	Cell #	      3219	   71.87	   0.013	20
03SEP2022 22:22:11  Obuhvat2D	Cell #	      3235	   72.46	   0.028	21

03SEP2022 22:22:30  Obuhvat2D	Cell #	      3235	   72.38	   0.074	21
03SEP2022 22:22:49  Obuhvat2D	Cell #	      3235	   72.39	   0.196	20
03SEP2022 22:23:08  Obuhvat2D	Cell #	      3235	   72.45	   0.113	20
03SEP2022 22:23:45  Obuhvat2D	Cell #	     28371	   74.74	   0.004	20

03SEP2022 22:24:04  Obuhvat2D	Cell #	      3202	   72.26	   0.019	20
03SEP2022 22:24:23  Obuhvat2D	Cell #	     29561	   75.40	   0.007	20
03SEP2022 22:24:41  Obuhvat2D	Cell #	     29561	   75.39	   0.007	20
03SEP2022 22:25:00  Obuhvat2D	Cell #	     29561	   75.39	   0.010	20

03SEP2022 22:25:19  Obuhvat2D	Cell #	     29561	   75.39	   0.010	20
03SEP2022 22:25:38  Obuhvat2D	Cell #	     29561	   75.40	   0.007	20
03SEP2022 22:25:56  Obuhvat2D	Cell #	     24490	   72.40	   0.005	20
03SEP2022 22:26:15  Obuhvat2D	Cell #	     29561	   75.40	   0.007	20

03SEP2022 22:26:34  Obuhvat2D	Cell #	     29561	   75.40	   0.006	20
03SEP2022 22:26:53  Obuhvat2D	Cell #	     29561	   75.40	   0.004	20
03SEP2022 22:27:49  Obuhvat2D	Cell #	     29561	   75.40	   0.005	20
03SEP2022 22:28:08  Obuhvat2D	Cell #	     28371	   74.75	   0.005	20

03SEP2022 22:28:26  Obuhvat2D	Cell #	     29561	   75.40	   0.006	20
03SEP2022 22:28:45  Obuhvat2D	Cell #	      3174	   72.53	   0.006	20
03SEP2022 22:29:04  Obuhvat2D	Cell #	     29561	   75.40	   0.006	20
03SEP2022 22:29:23  Obuhvat2D	Cell #	     29561	   75.40	   0.006	20

03SEP2022 22:29:41  Obuhvat2D	Cell #	     29561	   75.40	   0.006	20
03SEP2022 22:30:00  Obuhvat2D	Cell #	     29561	   75.40	   0.005	20
03SEP2022 22:30:19  Obuhvat2D	Cell #	      3177	   72.97	   0.006	20
03SEP2022 22:30:38  Obuhvat2D	Cell #	     29561	   75.40	   0.004	20

03SEP2022 22:30:56  Obuhvat2D	Cell #	      3218	   72.80	   0.019	20
03SEP2022 22:31:15  Obuhvat2D	Cell #	      3233	   72.87	   0.004	20
03SEP2022 22:31:34  Obuhvat2D	Cell #	     39524	   76.57	   0.009	20
03SEP2022 22:31:34       timestep =              9.375      (sec)
03SEP2022 22:32:30  Obuhvat2D	Cell #	      3175	   72.68	   0.005	20

03SEP2022 22:32:39  Obuhvat2D	Cell #	      3175	   72.69	   0.003	20
03SEP2022 22:35:56       timestep =            18.75        (sec)
03SEP2022 22:36:15  Obuhvat2D	Cell #	     28371	   74.75	   0.003	20
03SEP2022 22:36:34  Obuhvat2D	Cell #	     28371	   74.75	   0.003	20
03SEP2022 22:37:49  Obuhvat2D	Cell #	     24508	   72.08	   0.009	20

03SEP2022 22:38:26  Obuhvat2D	Cell #	     24508	   72.10	   0.016	20
03SEP2022 22:38:26       timestep =              9.375      (sec)
03SEP2022 22:39:04  Obuhvat2D	Cell #	     37336	   76.54	   0.003	20
03SEP2022 22:41:15       timestep =            18.75        (sec)
03SEP2022 22:45:19  Obuhvat2D	Cell #	      5372	   72.59	   0.005	20
03SEP2022 22:45:38  Obuhvat2D	Cell #	      5372	   72.59	   0.016	20

03SEP2022 22:45:56  Obuhvat2D	Cell #	      5372	   72.59	   0.023	21
03SEP2022 22:46:15  Obuhvat2D	Cell #	      5372	   72.62	   0.025	20
03SEP2022 22:47:30  Obuhvat2D	Cell #	      5372	   72.62	   0.005	20
03SEP2022 22:47:49  Obuhvat2D	Cell #	      3137	   72.81	   0.010	20

03SEP2022 22:48:08  Obuhvat2D	Cell #	      5372	   72.62	   0.006	20
03SEP2022 22:48:45  Obuhvat2D	Cell #	      5372	   72.63	   0.004	20
03SEP2022 22:50:00  Obuhvat2D	Cell #	     24518	   72.48	   0.004	20
03SEP2022 23:03:45  Obuhvat2D	Cell #	     39524	   76.56	   0.006	20
03SEP2022 23:03:45       timestep =              9.375      (sec)
03SEP2022 23:05:37       timestep =            18.75        (sec)
03SEP2022 23:05:56       timestep =              9.375      (sec)
03SEP2022 23:07:30       timestep =            18.75        (sec)
03SEP2022 23:07:49       timestep =              9.375      (sec)
03SEP2022 23:08:45       timestep =            18.75        (sec)

03SEP2022 23:09:04  Obuhvat2D	Cell #	     11802	   74.22	   0.004	20
03SEP2022 23:09:04       timestep =              9.375      (sec)
03SEP2022 23:10:00       timestep =            18.75        (sec)
03SEP2022 23:10:19       timestep =              9.375      (sec)
03SEP2022 23:11:15       timestep =            18.75        (sec)
03SEP2022 23:11:34       timestep =              9.375      (sec)
03SEP2022 23:12:30       timestep =            18.75        (sec)
03SEP2022 23:12:49       timestep =              9.375      (sec)
03SEP2022 23:13:45       timestep =            18.75        (sec)
03SEP2022 23:14:04       timestep =              9.375      (sec)
03SEP2022 23:15:00       timestep =            18.75        (sec)
03SEP2022 23:15:19       timestep =              9.375      (sec)
03SEP2022 23:16:15       timestep =            18.75        (sec)
03SEP2022 23:16:53  Obuhvat2D	Cell #	     11843	   74.23	   0.008	20
03SEP2022 23:17:11  Obuhvat2D	Cell #	      5416	   72.78	   0.004	20
03SEP2022 23:17:30       timestep =            37.5          (sec)
03SEP2022 23:18:08  Obuhvat2D	Cell #	      5458	   72.58	   0.027	21
03SEP2022 23:18:07       timestep =            18.75        (sec)
03SEP2022 23:18:26       timestep =              9.375      (sec)
03SEP2022 23:19:22       timestep =            18.75        (sec)
03SEP2022 23:20:00       timestep =              9.375      (sec)
03SEP2022 23:20:56       timestep =            18.75        (sec)
03SEP2022 23:21:15       timestep =              9.375      (sec)
03SEP2022 23:22:11       timestep =            18.75        (sec)

03SEP2022 23:24:23  Obuhvat2D	Cell #	     29491	   74.80	   0.008	20
03SEP2022 23:25:19  Obuhvat2D	Cell #	     29489	   74.71	   0.028	20
03SEP2022 23:25:38  Obuhvat2D	Cell #	     18537	   76.52	   0.003	21
03SEP2022 23:29:04  Obuhvat2D	Cell #	     39524	   76.56	   0.006	20
03SEP2022 23:29:04       timestep =              9.375      (sec)
03SEP2022 23:31:15       timestep =            18.75        (sec)

03SEP2022 23:37:49  Obuhvat2D	Cell #	     11798	   74.14	   0.025	20
03SEP2022 23:39:04  Obuhvat2D	Cell #	     42490	   76.52	   0.006	20
03SEP2022 23:39:04       timestep =              9.375      (sec)
03SEP2022 23:39:51  Obuhvat2D	Cell #	     11799	   74.11	   0.005	20
03SEP2022 23:40:00       timestep =            18.75        (sec)
03SEP2022 23:43:26  Obuhvat2D	Cell #	     11753	   73.54	   0.037	21

03SEP2022 23:43:45  Obuhvat2D	Cell #	     11753	   73.52	   0.023	20
03SEP2022 23:44:04  Obuhvat2D	Cell #	     11754	   73.76	   0.019	20
03SEP2022 23:44:22       timestep =              9.375      (sec)
03SEP2022 23:45:19       timestep =            18.75        (sec)
03SEP2022 23:45:37       timestep =              9.375      (sec)
03SEP2022 23:46:34       timestep =            18.75        (sec)
03SEP2022 23:47:30  Obuhvat2D	Cell #	     37793	   76.56	   0.006	20
03SEP2022 23:47:30       timestep =              9.375      (sec)
03SEP2022 23:48:45       timestep =            18.75        (sec)
03SEP2022 23:49:04       timestep =              9.375      (sec)
03SEP2022 23:50:00       timestep =            18.75        (sec)
03SEP2022 23:55:19       timestep =              9.375      (sec)
03SEP2022 23:56:15       timestep =            18.75        (sec)
03SEP2022 23:56:52       timestep =              9.375      (sec)
03SEP2022 23:57:49       timestep =            18.75        (sec)
03SEP2022 23:58:07       timestep =              9.375      (sec)
03SEP2022 23:59:04       timestep =            18.75        (sec)
03SEP2022 23:59:22       timestep =              9.375      (sec)
04SEP2022 00:00:37       timestep =            18.75        (sec)
04SEP2022 00:01:15       timestep =              9.375      (sec)
04SEP2022 00:02:11       timestep =            18.75        (sec)
